titulo,ano,calificacion,duracion
132. Green Book. Una amistad sin fronteras,2018,8.2,2h 10m
133. Una Eva y dos Adanes,1959,8.2,2h 1m
134. The Truman Show. Historia de una vida,1998,8.2,1h 43m
135. Juicio en Nuremberg,1961,8.3,2h 59m
136. El chico,1921,8.2,1h 8m
137. El padre,2020,8.2,1h 37m
138. La isla siniestra,2010,8.2,2h 18m
139. La malvada,1950,8.2,2h 18m
140. Petróleo sangriento,2007,8.2,2h 38m
141. Parque jurásico,1993,8.2,2h 7m
142. Casino,1995,8.2,2h 58m
143. Top Gun: Maverick,2022,8.2,2h 10m
144. El sexto sentido,1999,8.2,1h 47m
145. Ran,1985,8.2,2h 40m
146. El laberinto del fauno,2006,8.2,1h 58m
147. Sin lugar para los débiles,2007,8.2,2h 2m
148. Los imperdonables,1992,8.2,2h 10m
149. La cosa del otro mundo,1982,8.2,1h 49m
150. Una mente brillante,2001,8.2,2h 15m
151. Kill Bill. La venganza (volumen 1),2003,8.2,1h 51m
152. El tesoro de la Sierra Madre,1948,8.2,2h 6m
153. Yojimbo,1961,8.2,1h 50m
154. Robot Salvaje,2024,8.3,1h 42m
155. Intriga,2013,8.2,2h 33m
156. Buscando a Nemo,2003,8.2,1h 40m
157. El gran escape,1963,8.2,2h 52m
158. Monty Python y el santo grial,1975,8.2,1h 31m
159. Kimetsu no Yaiba: Tsuzumi Yashiki Hen,2021,8.8,1h 27m
160. El increíble castillo vagabundo,2004,8.2,1h 59m
161. El hombre elefante,1980,8.2,2h 4m
162. Rashomon,1950,8.2,1h 28m
163. Con M de Muerte,1954,8.2,1h 45m
164. Lo que el viento se llevó,1939,8.2,3h 58m
165. Barrio Chino,1974,8.1,2h 10m
166. El secreto de sus ojos,2009,8.2,2h 9m
"167. Juegos, trampas y dos pistolas humeantes",1998,8.1,1h 47m
168. Intensa Mente,2015,8.1,1h 35m
169. V de venganza,2005,8.1,2h 12m
170. Tres anuncios por un crimen,2017,8.1,1h 55m
171. El toro salvaje,1980,8.1,2h 9m
172. Klaus,2019,8.2,1h 36m
173. El puente sobre el río Kwai,1957,8.1,2h 41m
